nTrial,trialType,X1,Y1,T1,X2,Y2,T2,X3,Y3,T3,X4,Y4,T4
1,4,1203,441,1,607,419,154,911,155,784,896,705,867
2,1,607,415,1,1206,475,231,NaN,NaN,776,NaN,NaN,869
3,1,607,465,1,1206,425,203,NaN,NaN,836,NaN,NaN,827
4,3,1258,423,1,658,468,194,NaN,NaN,733,NaN,NaN,711
5,6,929,93,1,902,680,211,626,385,844,1247,399,831
6,4,1203,391,1,607,419,168,861,155,835,896,755,892
7,8,882,690,1,905,162,238,1182,405,773,637,405,872
8,3,1258,423,1,658,418,238,NaN,NaN,744,NaN,NaN,723
9,7,888,760,1,915,137,192,NaN,NaN,805,NaN,NaN,832
10,1,607,415,1,1206,475,182,NaN,NaN,703,NaN,NaN,884
11,2,562,453,1,1217,399,160,921,125,896,939,681,781
12,5,940,176,1,899,737,221,NaN,NaN,798,NaN,NaN,816
13,7,888,710,1,865,87,163,NaN,NaN,700,NaN,NaN,752
14,4,1203,391,1,657,469,173,911,105,869,896,705,732
15,4,1203,391,1,607,419,249,911,155,877,896,705,794
16,7,888,760,1,915,87,208,NaN,NaN,795,NaN,NaN,741
17,8,882,690,1,955,112,189,1182,455,787,637,455,747
18,8,882,740,1,955,162,157,1182,455,857,587,405,837
19,8,882,740,1,955,162,249,1232,405,836,637,405,780
20,3,1208,423,1,658,418,188,NaN,NaN,883,NaN,NaN,727
21,8,932,690,1,955,112,155,1232,455,742,637,405,864
22,4,1203,441,1,657,469,157,861,155,873,896,755,798
23,1,607,465,1,1256,425,160,NaN,NaN,747,NaN,NaN,841
24,6,879,93,1,952,730,201,576,385,801,1197,449,890
25,8,932,740,1,905,112,236,1182,405,831,637,455,865
26,4,1203,391,1,657,419,188,911,105,809,896,755,868
27,1,657,415,1,1256,475,203,NaN,NaN,789,NaN,NaN,829
28,5,890,126,1,899,737,201,NaN,NaN,704,NaN,NaN,808
29,2,562,403,1,1217,399,169,921,125,877,889,731,883
30,5,940,126,1,949,737,156,NaN,NaN,731,NaN,NaN,808
31,6,879,143,1,902,680,214,626,385,832,1197,399,764
32,3,1258,423,1,658,418,208,NaN,NaN,707,NaN,NaN,888
33,1,607,465,1,1256,425,190,NaN,NaN,831,NaN,NaN,731
34,6,879,143,1,952,730,209,626,435,750,1247,449,886
35,6,879,143,1,902,680,207,626,385,725,1197,449,770
36,5,890,126,1,949,737,225,NaN,NaN,897,NaN,NaN,783
37,6,879,93,1,902,680,227,626,435,885,1197,449,718
